m22,k
2.24146e-25,7e-14
2.49051e-26,7e-15
4.98102e-25,4e-15
1.99241e-25,7e-15
1.24525e-25,1.1e-14
1.99241e-24,1e-14
7.47153e-25,9e-14
7.47153e-27,4e-15
9.96204e-26,1.7e-14
1.24526e-24,9e-14
4.98102e-25,9e-14
1.99241e-25,7e-15
1.99241e-26,1.9e-14
9.96204e-25,3e-14
4.98102e-26,6e-15
1.74336e-25,1.7e-14
9.96204e-25,1.9e-14
2.24146e-25,8e-15
1.24526e-26,4e-15
7.47153e-25,1.8e-14
9.96204e-27,7e-15
2.49051e-26,1e-14
7.47153e-25,5e-14
9.96204e-28,2e-15
9.96204e-28,2e-15
2.24146e-26,1.7e-14
7.47153e-25,1.8e-14
1.74336e-26,1.4e-14
1.74336e-26,1.6e-14
1.74336e-25,1.5e-14
1.24526e-24,1.3e-14
2.49051e-26,4e-15
2.49051e-24,8e-14
1.74336e-26,1e-15
2.49051e-26,2e-15
2.49051e-25,2e-14
1.24526e-26,1.3e-14
2.49051e-24,9e-15
1.24526e-24,1.3e-14
1.24526e-24,1.4e-14
4.98102e-25,4e-14
9.96204e-25,1.2e-14
2.49051e-24,1e-14
1.99241e-25,4e-15
2.49051e-24,1.3e-14
1.49431e-24,3e-14
2.24146e-25,5e-15
1.49431e-25,2e-15
2.49051e-25,1e-14
4.98102e-25,5e-14
2.49051e-25,6e-14
9.96204e-26,1.1e-14
2.49051e-27,1e-15
1.74336e-26,5e-15
1.74336e-24,5e-14
2.24146e-25,8e-15
1.99241e-25,7e-14
1.49431e-24,1e-13
1.49431e-24,6e-15
1.49431e-24,1.7e-14
1.49431e-25,1.1e-14
2.24146e-27,4e-15
9.96204e-25,7e-14
4.98102e-25,6e-14
1.74336e-25,5e-15
1.24525e-25,1e-14
7.47153e-26,5e-15
9.96204e-25,6e-15
1.99241e-25,5e-15
1.74336e-27,4e-15
2.24146e-25,1.8e-14
1.99241e-25,2e-15
4.98102e-25,9e-15
1.49431e-25,1.8e-14
2.24146e-24,2e-14
1.99241e-24,4e-14
1.49431e-27,2e-15
7.47153e-25,6e-15
4.98102e-27,5e-15
1.24526e-24,6e-15
1.49431e-24,9e-14
1.24526e-26,3e-15
9.96204e-26,1.2e-14
2.49051e-24,1.6e-14
1.49431e-24,9e-15
7.47153e-26,1.2e-14
1.99241e-25,1.3e-14
1.49431e-24,1.2e-14
7.47153e-27,1e-15
2.49051e-27,4e-15
2.49051e-26,8e-15
1.24526e-26,1.1e-14
2.49051e-25,5e-15
1.49431e-24,1.9e-14
7.47153e-26,5e-14
2.24146e-24,1.4e-14
1.74336e-27,1e-15
4.98102e-26,1.3e-14
1.24525e-25,1.2e-14
1.49431e-25,4e-15
1.24525e-25,1.1e-14
1.49431e-26,2e-15
1.49431e-26,8e-15
1.74336e-24,1.4e-14
7.47153e-25,7e-14
1.99241e-25,1.2e-14
7.47153e-25,9e-14
2.24146e-27,4e-15
2.49051e-24,1.2e-14
1.24525e-25,1e-14
1.99241e-26,1.1e-14
1.49431e-24,8e-14
2.49051e-25,1.3e-14
7.47153e-26,5e-14
7.47153e-25,9e-15
9.96204e-26,3e-14
1.74336e-24,6e-14
1.49431e-27,3e-15
2.24146e-25,6e-15
1.49431e-26,5e-15
1.49431e-25,1.6e-14
1.49431e-24,4e-14
2.49051e-25,8e-14
2.24146e-25,6e-14
1.24525e-25,1.7e-14
9.96204e-26,1.8e-14
1.99241e-26,9e-15
1.74336e-26,6e-15
9.96204e-25,8e-15
2.49051e-25,8e-15
9.96204e-25,1.8e-14
2.24146e-24,1.6e-14
4.98102e-26,4e-15
2.24146e-26,5e-15
4.98102e-26,1.8e-14
1.49431e-24,1.5e-14
9.96204e-26,9e-15
2.49051e-25,8e-15
1.99241e-24,1.7e-14
2.24146e-24,9e-14
7.47153e-26,1.5e-14
2.49051e-25,1.5e-14
2.24146e-24,7e-14
1.24526e-26,2e-15
2.49051e-26,3e-15
2.49051e-26,6e-15
2.49051e-25,8e-15
7.47153e-26,1e-15
1.99241e-27,3e-15
9.96204e-27,1.2e-14
2.24146e-26,1.2e-14
1.24525e-25,1.3e-14
7.47153e-25,1.4e-14
1.49431e-24,1.9e-14
9.96204e-26,9e-15
1.74336e-24,6e-14
1.74336e-24,4e-14
2.24146e-24,1.9e-14
1.24526e-26,7e-15
7.47153e-25,8e-15
2.24146e-26,5e-15
4.98102e-25,7e-14
