m22,m33,m23,k,min,max,file,difference,label
2.24146e-26,5.68588e-27,-8.30169e-28,1e-15,0.10939,0.58833,FeCrCo_m22_2.24146e-26_m33_5.68588e-27_m23_-8.30169e-28_k_1e-15.png,0.47894,1
4.98102e-25,5.68588e-27,-8.30169e-28,7e-15,0.11097,0.59955,FeCrCo_m22_4.98102e-25_m33_5.68588e-27_m23_-8.30169e-28_k_7e-15.png,0.48858,1
9.96204e-25,5.68588e-27,-8.30169e-28,9e-14,0.13123,0.53297,FeCrCo_m22_9.96204e-25_m33_5.68588e-27_m23_-8.30169e-28_k_9e-14.png,0.40174,1
2.49051e-25,5.68588e-27,-8.30169e-28,9e-15,0.10899,0.59574,FeCrCo_m22_2.49051e-25_m33_5.68588e-27_m23_-8.30169e-28_k_9e-15.png,0.48675,1
9.96204e-25,5.68588e-27,-8.30169e-28,1.5e-14,0.10989,0.59647,FeCrCo_m22_9.96204e-25_m33_5.68588e-27_m23_-8.30169e-28_k_1.5e-14.png,0.48658,1
1.24526e-26,5.68588e-27,-8.30169e-28,6e-15,0.11016,0.575,FeCrCo_m22_1.24526e-26_m33_5.68588e-27_m23_-8.30169e-28_k_6e-15.png,0.46484,1
2.49051e-24,5.68588e-27,-8.30169e-28,1.1e-14,0.11198,0.59875,FeCrCo_m22_2.49051e-24_m33_5.68588e-27_m23_-8.30169e-28_k_1.1e-14.png,0.48677,1
7.47153e-25,5.68588e-27,-8.30169e-28,9e-15,0.1114,0.59671,FeCrCo_m22_7.47153e-25_m33_5.68588e-27_m23_-8.30169e-28_k_9e-15.png,0.48531,1
9.962040000000001e-26,5.68588e-27,-8.30169e-28,9e-15,0.10793,0.59036,FeCrCo_m22_9.96204e-26_m33_5.68588e-27_m23_-8.30169e-28_k_9e-15.png,0.48243,1
1.9924099999999999e-25,5.68588e-27,-8.30169e-28,1.4e-14,0.10791,0.59166,FeCrCo_m22_1.99241e-25_m33_5.68588e-27_m23_-8.30169e-28_k_1.4e-14.png,0.48375,1
2.24146e-24,5.68588e-27,-8.30169e-28,1.6e-14,0.10845,0.59173,FeCrCo_m22_2.24146e-24_m33_5.68588e-27_m23_-8.30169e-28_k_1.6e-14.png,0.48328,1
1.9924100000000002e-26,5.68588e-27,-8.30169e-28,2e-14,0.40856,0.47755,FeCrCo_m22_1.99241e-26_m33_5.68588e-27_m23_-8.30169e-28_k_2e-14.png,0.06899,1
1.99241e-24,5.68588e-27,-8.30169e-28,1.4e-14,0.11025,0.59547,FeCrCo_m22_1.99241e-24_m33_5.68588e-27_m23_-8.30169e-28_k_1.4e-14.png,0.48522,1
4.9810200000000003e-26,5.68588e-27,-8.30169e-28,4e-15,0.10923,0.59023,FeCrCo_m22_4.98102e-26_m33_5.68588e-27_m23_-8.30169e-28_k_4e-15.png,0.481,1
4.98102e-25,5.68588e-27,-8.30169e-28,5e-14,0.10045,0.56927,FeCrCo_m22_4.98102e-25_m33_5.68588e-27_m23_-8.30169e-28_k_5e-14.png,0.46882,1
2.49051e-24,5.68588e-27,-8.30169e-28,1.4e-14,0.10867,0.59226,FeCrCo_m22_2.49051e-24_m33_5.68588e-27_m23_-8.30169e-28_k_1.4e-14.png,0.48359,1
4.98102e-25,5.68588e-27,-8.30169e-28,1.2e-14,0.10976,0.58984,FeCrCo_m22_4.98102e-25_m33_5.68588e-27_m23_-8.30169e-28_k_1.2e-14.png,0.48008,1
2.49051e-24,5.68588e-27,-8.30169e-28,1e-13,0.14174,0.51325,FeCrCo_m22_2.49051e-24_m33_5.68588e-27_m23_-8.30169e-28_k_1e-13.png,0.37151,1
7.471530000000001e-26,5.68588e-27,-8.30169e-28,7e-15,0.10843,0.58961,FeCrCo_m22_7.47153e-26_m33_5.68588e-27_m23_-8.30169e-28_k_7e-15.png,0.48118,1
9.962040000000001e-26,5.68588e-27,-8.30169e-28,1e-14,0.10807,0.58905,FeCrCo_m22_9.96204e-26_m33_5.68588e-27_m23_-8.30169e-28_k_1e-14.png,0.48098,1
2.4905100000000002e-26,5.68588e-27,-8.30169e-28,8e-15,0.10943,0.57743,FeCrCo_m22_2.49051e-26_m33_5.68588e-27_m23_-8.30169e-28_k_8e-15.png,0.468,1
4.9810200000000003e-26,5.68588e-27,-8.30169e-28,9e-15,0.10825,0.58469,FeCrCo_m22_4.98102e-26_m33_5.68588e-27_m23_-8.30169e-28_k_9e-15.png,0.47644,1
1.2452600000000001e-24,5.68588e-27,-8.30169e-28,4e-14,0.09999,0.57145,FeCrCo_m22_1.24526e-24_m33_5.68588e-27_m23_-8.30169e-28_k_4e-14.png,0.47146,1
1.74336e-26,5.68588e-27,-8.30169e-28,4e-15,0.10872,0.58061,FeCrCo_m22_1.74336e-26_m33_5.68588e-27_m23_-8.30169e-28_k_4e-15.png,0.47189,1
1.24525e-25,5.68588e-27,-8.30169e-28,5e-15,0.10934,0.59448,FeCrCo_m22_1.24525e-25_m33_5.68588e-27_m23_-8.30169e-28_k_5e-15.png,0.48514,1
9.962040000000001e-26,5.68588e-27,-8.30169e-28,1.8e-14,0.10693,0.5865,FeCrCo_m22_9.96204e-26_m33_5.68588e-27_m23_-8.30169e-28_k_1.8e-14.png,0.47957,1
7.47153e-25,5.68588e-27,-8.30169e-28,3e-14,0.10478,0.58524,FeCrCo_m22_7.47153e-25_m33_5.68588e-27_m23_-8.30169e-28_k_3e-14.png,0.48046,1
4.9810199999999994e-27,5.68588e-27,-8.30169e-28,1e-15,0.10609,0.58636,FeCrCo_m22_4.98102e-27_m33_5.68588e-27_m23_-8.30169e-28_k_1e-15.png,0.48027,1
2.24146e-25,5.68588e-27,-8.30169e-28,7e-15,0.10905,0.59667,FeCrCo_m22_2.24146e-25_m33_5.68588e-27_m23_-8.30169e-28_k_7e-15.png,0.48762,1
1.4943100000000002e-24,5.68588e-27,-8.30169e-28,1.1e-14,0.11247,0.59699,FeCrCo_m22_1.49431e-24_m33_5.68588e-27_m23_-8.30169e-28_k_1.1e-14.png,0.48452,1
4.9810200000000003e-26,5.68588e-27,-8.30169e-28,1.6e-14,0.10889,0.58102,FeCrCo_m22_4.98102e-26_m33_5.68588e-27_m23_-8.30169e-28_k_1.6e-14.png,0.47213,1
1.9924100000000002e-26,5.68588e-27,-8.30169e-28,8e-15,0.11003,0.57778,FeCrCo_m22_1.99241e-26_m33_5.68588e-27_m23_-8.30169e-28_k_8e-15.png,0.46775,1
2.24146e-25,5.68588e-27,-8.30169e-28,2e-14,0.1069,0.58864,FeCrCo_m22_2.24146e-25_m33_5.68588e-27_m23_-8.30169e-28_k_2e-14.png,0.48174,1
4.98102e-25,5.68588e-27,-8.30169e-28,8e-14,0.12889,0.53578,FeCrCo_m22_4.98102e-25_m33_5.68588e-27_m23_-8.30169e-28_k_8e-14.png,0.40689,1
1.99241e-24,5.68588e-27,-8.30169e-28,2e-14,0.10542,0.58572,FeCrCo_m22_1.99241e-24_m33_5.68588e-27_m23_-8.30169e-28_k_2e-14.png,0.4803,1
1.74336e-26,5.68588e-27,-8.30169e-28,1.6e-14,0.39108,0.47974,FeCrCo_m22_1.74336e-26_m33_5.68588e-27_m23_-8.30169e-28_k_1.6e-14.png,0.08866,1
